type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
finite M,10.1,-0.503175154874544,0.38,0.30923547003430135,0.32162181606642265,0.4535486409038724,9.939773786981913e-7,-0.0001404821733861361,3.1127755193170916,-1.8389049025213308e-5,0.10309220531398511,0.38000008208953623
finite M,10.2,-0.5031789473879005,0.38,0.30932550329707603,0.32262553758873924,0.4508510835082401,9.890845607170537e-7,-0.00017604408212767986,3.1152490034654767,-2.5453819912228323e-5,0.10127483868966225,0.380000082663069
finite M,10.3,-0.503182850967217,0.38,0.3094128387665296,0.3236043334887477,0.4482972684902511,9.968160709854193e-7,-0.00021655805475306877,3.1176399404194877,-3.234965612091377e-5,0.0995008358160705,0.38000008306711935
finite M,10.4,-0.5031868356217144,0.38,0.3094977244135966,0.32455767141198744,0.4458148192361807,9.93828541642184e-7,-0.00026219444141717396,3.1199519322825817,-3.929606126897543e-5,0.09776867219450547,0.3800000827017811
finite M,10.5,-0.5031908567135344,0.38,0.3095806575251492,0.32548633651433095,0.44340132042975,9.77638146951674e-7,-0.00031310266544859466,3.122187916423437,-4.6268491518702826e-5,0.09607724818792707,0.3800000816829084
finite M,10.6,-0.5031948534070354,0.38,0.3096617604153927,0.3263919447901794,0.44107426373728176,9.716541561251306e-7,-0.0003694136539689197,3.124350005049969,-5.309964144223703e-5,0.09442603508662128,0.3800000806914526
finite M,10.7,-0.503198806608815,0.38,0.3097410130992909,0.3272749943183709,0.43881084032055256,9.759285086220438e-7,-0.0004312411247153758,3.1264409742092543,-5.9824983372777293e-5,0.09281395296486172,0.3800000796677608
finite M,10.8,-0.5032027098147409,0.38,0.30981832463459213,0.3281359396882217,0.43659068854054084,9.895649115549342e-7,-0.0004986834178781763,3.1284635856688694,-6.64855302758751e-5,0.09123987459284999,0.38000007845921985
finite M,10.9,-0.5032065849136347,0.38,0.3098941653630583,0.3289745189480637,0.43438942770275346,9.809171683377125e-7,-0.0005718248580390828,3.1304213992255017,-7.323589781970362e-5,0.0897019850750711,0.3800000763412504
finite M,11.0,-0.503210386092041,0.38,0.30996848144189193,0.3297924012333294,0.4322305512313262,9.806121202723187e-7,-0.0006507373712834053,3.132315941314968,-7.989727762420726e-5,0.08820000213560775,0.3800000741655129
finite M,11.1,-0.5032141158502668,0.38,0.31004124175584025,0.33059008444087495,0.43010373989924644,9.87400031828144e-7,-0.000735481277966965,3.134149696103564,-8.649301089093744e-5,0.08673285048776735,0.38000007181682466
finite M,11.2,-0.5032178016737582,0.38,0.3101130786614042,0.33136735146290636,0.4279949274777528,9.649959151892648e-7,-0.000826106838871965,3.1359260714521366,-9.315508120924347e-5,0.08529865349355781,0.38000006854056917
finite M,11.3,-0.5032213682008866,0.38,0.31018312937779735,0.3321266334476267,0.4259323913129018,9.887189427967762e-7,-0.0009226552743859529,3.137644933263957,-9.958259685148227e-5,0.08389834473998503,0.3800000661158135
finite M,11.4,-0.5032249027463118,0.38,0.3102523298733279,0.33286651062719225,0.42387839270933036,9.773835211285135e-7,-0.0010251594724639546,3.139311024744928,-0.00010609980528206251,0.08252886147229921,0.38000006251049745
finite M,11.5,-0.5032283559511027,0.38,0.3103203843881831,0.33358861687297586,0.4218525707706645,9.723966745087422e-7,-0.0011336452756238735,3.1409250194467537,-0.00011252836978054015,0.08119040025609525,0.38000005885428995
finite M,11.6,-0.5032317313522856,0.38,0.31038729476201665,0.33429346481746997,0.41985161005167243,9.73927648200688e-7,-0.0012481318258799057,3.142488884072202,-0.00011887286196754585,0.0798820696710778,0.3800000551237451
finite M,11.7,-0.503235033644175,0.38,0.3104530541346193,0.3349815505345273,0.417872580391994,9.821596997699181e-7,-0.001368632648681034,3.1440045078650067,-0.00012513772753280483,0.07860300123908681,0.38000005128734304
finite M,11.8,-0.5032382701749247,0.38,0.3105176905199364,0.33565331229727763,0.41591260323108326,9.948545783204565e-7,-0.00149515621682772,3.1454737812754474,-0.0001313334519177107,0.07735228451959131,0.3800000472550617
finite M,11.9,-0.5032414836780659,0.38,0.31058217868805127,0.3363083203891203,0.4139648232229385,9.567841347905855e-7,-0.0016277071201837856,3.1469001838529813,-0.00013759406786678207,0.07612760117080919,0.3800000418254136
finite M,12.0,-0.5032446223245587,0.38,0.31064589293790973,0.3369480973108782,0.41204161757387925,9.862653787012964e-7,-0.0017662853517113053,3.148283616366863,-0.00014375666938804248,0.07492964732813867,0.3800000363466622
finite M,12.1,-0.5032477236912901,0.38,0.3107097333149666,0.3375723115755648,0.41013764488949955,9.545973548516983e-7,-0.0019108878748586022,3.1496272863973864,-0.0001499339699111554,0.07375624327139585,0.38000002970762514
finite M,12.2,-0.5032507003904383,0.38,0.3107720136597447,0.3381831888581718,0.40826500109792796,9.977360432449208e-7,-0.0020615101263803393,3.1509291195828038,-0.00015586552303319384,0.07260978351400693,0.3800000244956824
finite M,12.3,-0.5032535125158089,0.38,0.3108333681477808,0.3387804284464276,0.406414966950116,9.369836718321623e-7,-0.0022181415011732764,3.152190344684794,-0.0001616643461193161,0.0714897974041886,0.37999996284689647
finite M,12.4,-0.5032564060016322,0.38,0.3108953588048811,0.33936316384581333,0.40458396948618475,9.419371808216607e-7,-0.0023807749165418723,3.15341892585137,-0.0001674981791003208,0.07038975815818782,0.37999997665714075
finite M,12.5,-0.5032592189117832,0.38,0.3109567548643764,0.3399329429571312,0.4027760754913019,9.646239966732326e-7,-0.0025493972616399407,3.1546115685764193,-0.0001732097162931859,0.06931308307867967,0.37999998986205724
finite M,12.6,-0.5032619559105405,0.38,0.3110175656064672,0.3404901131388393,0.400989610448506,9.887920308630208e-7,-0.0027239954596671723,3.1557695924960814,-0.00017880544032586147,0.06825909521213003,0.38000000254394717
