type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,144.53297840782318,-0.24795862465736396,0.005,2.824733469720851e-5,0.0047585719326300995,0.4306634980089037,9.054082482732273e-7,144.53297840782318,-0.2782462405342722,0.005,0.003224189336711093,0.004989520808270716,1.0,9.566449760848786e-7
small M,144.8585031339669,-0.24796128798185715,0.005,2.82473234124811e-5,0.004759361564317572,0.42967764740539477,9.040254201292069e-7,144.8585031339669,-0.2783211907907121,0.005,0.003228151741850549,0.004989677212193455,1.0,9.697015610861429e-7
small M,145.18402786011066,-0.24796397609683202,0.005,2.8247314307233834e-5,0.004760145443823762,0.4286964200634765,9.026281700453315e-7,145.18402786011066,-0.2783964920012458,0.005,0.003232083490327262,0.00498983149505326,1.0,9.826704383026434e-7
small M,145.5095525862544,-0.24796668901077729,0.005,2.8247307368518623e-5,0.004760923626480373,0.42771978251680365,9.012165679523733e-7,145.5095525862544,-0.27847214440339213,0.005,0.003235984868332707,0.0049899836820595025,1.0,9.955017952569035e-7
small M,145.83507731239817,-0.24796942673053862,0.005,2.8247302583523124e-5,0.0047616961669598385,0.42674770163327064,8.997906852202302e-7,145.83507731239817,-0.2785483074311902,0.005,0.0032398530865477217,0.004990129934285507,1.0,9.48876179079106e-7
small M,146.1606020385419,-0.24797218926133174,0.005,2.824729993956811e-5,0.004762463119285116,0.4257801446106751,8.983505928587493e-7,146.1606020385419,-0.27862466998841284,0.005,0.003243694441567867,0.004990277923850212,1.0,9.589459038019604e-7
small M,146.48612676468565,-0.24797497660676196,0.005,2.8247299424103834e-5,0.004763224536839214,0.42481707897245236,8.968963577994586e-7,146.48612676468565,-0.2787013795542081,0.005,0.0032475063566884854,0.00499042395826376,1.0,9.705756177677043e-7
small M,146.81165149082938,-0.24797778876883675,0.005,2.824730102470836e-5,0.004763980472374719,0.42385847256349424,8.954280518914212e-7,146.81165149082938,-0.2787784406228144,0.005,0.00325128902095061,0.004990568003207416,1.0,9.821393063775268e-7
small M,147.13717621697313,-0.2479806257479828,0.005,2.824730472908452e-5,0.004764730978023018,0.42290429354601666,8.939457437449823e-7,147.13717621697313,-0.27885585344871877,0.005,0.0032550427016443317,0.00499071008244797,1.0,9.935921988710493e-7
small M,147.4627009431169,-0.247983487543062,0.005,2.8247310525056853e-5,0.00476547610530334,0.4219545103954927,8.924495044891504e-7,147.4627009431169,-0.2789337806006692,0.005,0.0032587645827255886,0.004990846557235279,1.0,9.457986468483473e-7
small M,147.7882256692606,-0.24798637415138616,0.005,2.824731840056923e-5,0.0047662159051317255,0.4210090918966607,8.909393986557663e-7,147.7882256692606,-0.2790119044258207,0.005,0.0032624609672958762,0.004990984698385026,1.0,9.547321316033057e-7
small M,148.11375039540437,-0.24798928556873245,0.005,2.8247328343683073e-5,0.004766950427829845,0.4200680071396016,8.894154959341004e-7,148.11375039540437,-0.2790903760748968,0.005,0.0032661292387290526,0.00499112100682875,1.0,9.651495380038777e-7
small M,148.4392751215481,-0.24799222178936062,0.005,2.8247340342573662e-5,0.004767679723133482,0.41913122551584886,8.878778661331959e-7,148.4392751215481,-0.279169199906895,0.005,0.00326976957269266,0.004991255449620214,1.0,9.755178865847773e-7
small M,148.76479984769188,-0.24799518280602584,0.005,2.8247354385528646e-5,0.004768403840201124,0.41819871671459363,8.863265749837662e-7,148.76479984769188,-0.27924837618523707,0.005,0.0032733822193057533,0.004991388049177027,1.0,9.85797224699504e-7
small M,149.0903245738356,-0.24799816860999502,0.005,2.8247370460945614e-5,0.00476912282762222,0.41727045071893,8.847616909750606e-7,149.0903245738356,-0.279327905062081,0.005,0.003276967427558856,0.004991518829085028,1.0,9.959890300006303e-7
